Course Code,Prerequisites
640:478,640:250 and 640:477 and 640:477 and 640:477 or 640:350 and 640:477 and 640:477 and 640:477 or 640:350 and 640:477 and 640:477 and 640:477 or 640:250 and 960:381 and 640:251 and 640:251 or 640:250 and 960:381 and 640:235 and 640:235 or 640:350 and 960:381 and 640:235 and 640:235
640:481,640:477 and 960:381 and 960:381 and 640:250 or 640:477 and 960:381 and 960:381 and 640:350 or 640:477 and 960:381 and 960:381 and 640:350
640:485,640:250 and 640:244 and 640:477 and 640:477 or 640:250 and 640:252 and 640:477 and 640:477 or 640:250 and 640:292 and 640:477 and 640:477 or 640:250 and 640:244 and 960:381 and 960:381 or 640:250 and 640:252 and 960:381 and 960:381 or 640:250 and 640:244 and 332:226 and 332:226
640:486,640:477 and 960:381 and 640:285
640:487,640:486
640:488,640:477
640:490,640:485
640:495,640:244 and 640:250 and 640:252 or 640:244 and 640:250 and 640:292
650:210,440:221 and 440:291 and 640:152 or 440:221 and 440:291 and 640:136 or 440:221 and 440:291 and 640:122 or 440:221 and 440:291 and 640:192
650:231,440:127 or 198:107
650:291,440:221 and 440:291 and 640:152 or 440:221 and 440:291 and 640:136 or 440:221 and 440:291 and 640:122 or 440:221 and 440:291 and 640:192
650:312,640:244 and 640:292 and 640:314 and 440:222 or 640:244 and 640:292 and 640:314 and 440:292
650:342,650:291 and 440:222 and 640:251 and 650:388 or 650:291 and 440:222 and 640:291 and 650:388 or 650:291 and 440:292 and 640:251 and 650:388 or 650:291 and 440:292 and 640:291 and 650:388 or 180:243 and 440:222 and 640:251 and 650:388 or 180:243 and 440:222 and 640:291 and 650:388
650:350,650:361 and 650:291 and 640:251 and 640:251 or 650:361 and 650:291 and 640:291 and 640:291 or 650:361 and 650:291 and 640:221 and 640:221 or 650:361 and 650:291 and 640:235 and 640:235
650:351,440:222 and 750:227 and 640:251 and 640:251 or 440:292 and 750:227 and 640:251 and 640:251 or 440:292 and 750:272 and 640:291 and 640:291 or 440:222 and 750:272 and 640:251 and 640:251 or 440:292 and 750:272 and 640:251 and 640:251 or 440:222 and 750:227 and 640:291 and 640:291
650:361,640:152 and 640:136 and 640:122 and 440:221 or 640:152 and 640:136 and 640:122 and 440:291 or 640:192 and 640:136 and 640:122 and 440:221 or 640:192 and 640:136 and 640:122 and 440:291
650:388,640:152 and 640:136 and 440:221 or 640:122 and 640:192 and 440:221 or 640:152 and 640:136 and 440:291 or 640:122 and 640:192 and 440:291
650:401,640:244 and 640:292 and 640:314 and 440:222 or 640:244 and 640:292 and 640:314 and 440:292
650:431,650:350 or 650:312 and 650:351
650:432,650:312 or 650:350 and 650:351 and 650:291
650:433,650:291 or 650:312 and 650:350 and 650:351
650:434,650:312 and 650:342 and 650:350 and 650:351 or 650:349 and 650:342 and 650:350 and 650:351 or 650:471 and 650:342 and 650:350 and 650:351 or 650:472 and 650:342 and 650:350 and 650:351 or 650:473 and 650:342 and 650:350 and 650:351
650:435,650:312 or 650:350 and 650:351 and 650:291
650:439,640:244 or 650:351
650:443,440:222 and 640:421 and 650:291 and 650:291 or 440:292 and 640:421 and 650:291 and 650:291
650:447,640:421
650:449,640:244 and 640:292 and 650:291 or 640:314 and 640:314 and 650:291
650:451,440:222 or 440:292
650:455,650:342 or 650:388
650:457,650:342 or 650:388
650:458,640:251 and 640:291 and 640:221 and 650:291 or 640:251 and 640:291 and 640:235 and 650:291
650:459,650:312 or 650:351
650:460,650:312 or 650:351
650:461,650:351
650:462,650:351
650:463,650:312 or 650:351
650:465,650:312 or 650:351
650:467,650:312 or 650:342 and 650:350 and 650:351 and 650:388
650:468,650:467
650:471,440:222 and 440:292 and 640:421
650:472,125:303 or 650:312
650:473,650:342
650:474,650:351
650:477,650:351
650:478,650:342 or 650:351
650:481,640:421 or 650:312 and 650:351
650:485,440:127 or 650:342
650:487,650:312 or 650:342 and 650:350 and 650:351 and 650:388
650:488,650:487
750:116,750:115 or 750:123
750:124,750:115 or 750:123
750:194,750:193 and 750:193
750:201,640:112 or 640:115 or 640:135 or 640:151 or 640:115 or 640:121 or 640:114 or 640:135
750:202,750:116 or 750:124 or 750:193 or 750:201 or 750:203 or 750:271
750:204,750:201 or 750:203
750:206,750:201 or 750:203 or 750:205
750:227,750:116 and 750:124 and 750:271 and 640:152
750:228,750:204 and 750:204 and 640:152 or 750:227 and 750:227 and 640:152 or 750:272 and 750:272 and 640:152
750:229,750:116 or 750:124 or 750:201 or 750:203 or 750:271 or 750:213 or 750:131 or 750:203 or 750:203
750:230,750:227 or 750:214 or 750:132 or 750:204 or 750:204 or 750:204
750:272,640:151 or 750:271
750:273,750:272 or 640:152
750:276,750:275
750:301,750:194 and 750:202 and 750:204 and 640:136 or 750:194 and 750:202 and 750:204 and 640:152 or 750:227 and 750:272 and 750:272 and 640:136 or 750:227 and 750:272 and 750:272 and 640:152
750:305,750:227 and 750:272 and 640:251
750:313,750:202 and 750:204 and 750:228 and 640:136 or 750:202 and 750:204 and 750:228 and 640:152
750:323,750:202 and 750:204 and 750:228 and 640:136 or 750:202 and 750:204 and 750:228 and 640:152
750:324,750:323 or 750:381
750:326,750:204 and 750:206 and 750:202 or 750:228 and 750:230 and 750:202 or 750:273 and 750:276 and 750:202
750:327,750:204 and 750:206 and 750:202 or 750:227 and 750:229 and 750:194 or 750:272 and 750:276 and 750:194
750:341,640:152 and 640:152 and 750:201 or 640:152 and 640:152 and 750:203 or 640:152 and 640:152 and 750:116 or 640:152 and 640:152 and 750:124 or 640:152 and 640:152 and 750:271
750:342,750:202 and 750:204 and 640:152 or 750:228 and 750:273 and 640:152
750:343,750:341 or 750:342
750:344,750:342 or 105:342
750:345,750:341 or 750:342
750:346,750:341 and 750:342 and 750:345
750:351,640:251 and 640:291 and 750:204 or 640:251 and 640:291 and 750:227 or 640:251 and 640:291 and 750:272 or 640:251 and 640:291 and 750:194 or 640:251 and 640:291 and 750:202
750:361,750:228 and 750:273 and 640:244 or 750:228 and 750:273 and 640:252 or 750:228 and 750:273 and 640:292
750:381,750:124 and 750:271 and 640:152
750:382,750:381
750:385,750:227 and 750:272 and 640:251 or 750:227 and 750:272 and 640:291
750:386,750:385
750:387,750:326 or 750:327
750:388,750:326 and 750:327 and 750:313 and 750:313 or 750:326 and 750:327 and 750:361 and 750:361 or 750:326 and 750:327 and 750:417 and 750:417
750:389,750:326 and 750:327 and 750:361 and 750:361 or 750:326 and 750:327 and 750:313 and 750:313
750:397,750:204 or 750:228 or 750:273 or 750:202 or 750:194
750:406,750:361 or 750:417
750:417,750:361
750:418,750:361 or 750:417
750:421,750:228 and 750:273 and 640:244 or 750:228 and 750:273 and 640:250 or 750:228 and 750:273 and 640:252
750:431,640:136 or 640:138 or 640:152 or 640:192
750:441,750:351 and 750:361 and 750:342
750:442,750:361 and 750:386 and 750:342
750:443,750:361 and 750:381 and 750:351 and 750:342
750:444,750:341 and 750:342 and 750:341 and 750:342 or 750:351 and 750:361 and 750:351 and 750:361
750:451,750:124 and 750:203 and 750:271 and 640:136 or 750:124 and 750:203 and 750:271 and 640:152 or 750:115 and 750:201 and 750:201 and 640:136 or 750:115 and 750:201 and 750:201 and 640:152
750:464,640:421 or 640:423
750:487,750:361
750:488,750:228 and 750:273 and 750:273 and 640:250 or 750:228 and 750:273 and 750:273 and 640:244
750:489,750:361 or 750:417
