Course Code,Course Name,SQI
332:472,Robotics&comp Vision,4.1
332:479,Vlsi Design,4.28
332:481,Electromagnetic Waves,3.89
332:493,Topics In Ece: Introduction To Quantum Info Scienc,4.05
332:494,Topics in ECE: Cloud Computing,4.09
440:115,Dellc Intr To Eng,3.93
440:127,Int Computer For Eng,3.99
440:191,Honors Intro Engg I,4.12
440:221,Eng Mech-Statics,3.54
440:222,Eng Mech-Dynamics,3.67
440:291,Honors Eng Mech-Stat,3.51
440:292,Honors Eng Mech-Dyna,3.29
440:298,Skills To Succeed: Professional Development: Hire,4.51
440:301,Intro Packaging Eng,3.7
440:371,Packaging Eval Mtds,2.52
440:373,Pkgg Manufacturing,4.02
440:378,Sustainable Packag'g,4.23
440:419,Innovation & Design,4.06
540:201,Work Design & Ergo,3.95
540:320,Engr Statistics,3.87
540:338,Prob Models In Or,3.94
540:343,Engineerng Economics,4.52
540:382,Computer Cont Of Mfg,3.81
540:400,Des Engr Sys II,3.39
540:433,Quality Engineering,4.36
540:453,Production Control,3.39
540:491,Special Problems: Reliability,3.74
635:203,Intro Matls Sci Engg,4.08
635:205,Crystal Chem& Struct,3.63
635:305,Matls Microproc,2.77
635:307,Kinetics Of Mat Proc,4.43
635:309,Charact Of Materials,3.76
635:312,Glass Engineering,3.73
635:353,Lab II,3.96
635:360,Mse Ceramics,4.44
635:362,Physical Metallurgy,4.32
635:403,Mse Seminar,4.16
635:404,Mse Seminar,4.11
635:405,Solar Cell Dsgn Proc,4.29
635:407,Mechanical Properties Of Materials,4.13
635:412,Mse Eng'g Design II,4.54
635:413,Mse Venture Analysis,4.5
650:210,Intro Aero Eng,3.85
650:289,Prof Development Mae,4.04
650:291,Mech Materials,3.31
650:312,Fluid Mechanics,4.03
650:342,Design Mech Compnts,3.68
650:350,Mech Eng Mes W/lab,3.27
650:351,Thermodynamics,3.65
650:361,Intro Mechantronics,3.67
650:388,Cad In Mech Engg,3.46
650:401,Dyn Sys & Cntl,3.52
650:431,Mech Engg Lab I,3.6
650:439,Multiphysics Simu,3.89
650:451,Vehicle Dynamics,3.6
650:455,Design Of Mechanisms,3.83
650:457,Spacecraft/mis De,4.15
650:462,Power Plants,4.03
650:465,Orbital Mechanics,3.5
650:467,Design & Mfg. I,3.99
650:474,Alt Energy I,3.66
650:481,Heat Transfer,3.82
650:487,Ae Design 1,3.9
125:499,Topics In Biomedical Engineering: Health Tech In Situ: Data & Enterprise,4.06
332:223,Principles Of Electrical Engineering I Lab,4.09
332:224,Principles Of Electrical Engineering II Lab,4.05
332:233,Digital Logic Design Lab,3.97
332:333,Computer Architecture Lab,3.59
332:351,Progrm Methodologyii,3.85
332:363,Electronic Devices Lab,3.21
