Course Code,Course Name,SQI
14:440:291,Honors Eng Mech-Stat,3.51
14:440:292,Honors Eng Mech-Dyna,3.29
14:440:298,Skills To Succeed: Professional Development: Hire,4.51
14:440:301,Intro Packaging Eng,3.7
14:440:371,Packaging Eval Mtds,2.52
14:440:373,Pkgg Manufacturing,4.02
14:440:378,Sustainable Packag'g,4.23
14:440:419,Innovation & Design,4.06
14:540:201,Work Design & Ergo,3.95
14:540:320,Engr Statistics,3.87
14:540:338,Prob Models In Or,3.94
14:540:343,Engineerng Economics,4.52
14:540:382,Computer Cont Of Mfg,3.81
14:540:400,Des Engr Sys II,3.39
14:540:433,Quality Engineering,4.36
14:540:453,Production Control,3.39
14:540:491,Special Problems: Reliability,3.74
14:635:203,Intro Matls Sci Engg,4.08
14:635:205,Crystal Chem& Struct,3.63
14:635:305,Matls Microproc,2.77
14:635:307,Kinetics Of Mat Proc,4.43
14:635:309,Charact Of Materials,3.76
14:635:312,Glass Engineering,3.73
14:635:353,Lab II,3.96
14:635:360,Mse Ceramics,4.44
14:635:362,Physical Metallurgy,4.32
14:635:403,Mse Seminar,4.16
14:635:404,Mse Seminar,4.11
14:635:405,Solar Cell Dsgn Proc,4.29
14:635:407,Mechanical Properties Of Materials,4.13
14:635:412,Mse Eng'g Design II,4.54
14:635:413,Mse Venture Analysis,4.5
14:650:210,Intro Aero Eng,3.85
14:650:289,Prof Development Mae,4.04
14:650:291,Mech Materials,3.31
14:650:312,Fluid Mechanics,4.03
14:650:342,Design Mech Compnts,3.68
14:650:350,Mech Eng Mes W/lab,3.27
14:650:351,Thermodynamics,3.65
14:650:361,Intro Mechantronics,3.67
14:650:388,Cad In Mech Engg,3.46
14:650:401,Dyn Sys & Cntl,3.52
14:650:431,Mech Engg Lab I,3.6
14:650:439,Multiphysics Simu,3.89
14:650:451,Vehicle Dynamics,3.6
14:650:455,Design Of Mechanisms,3.83
14:650:457,Spacecraft/mis De,4.15
14:650:462,Power Plants,4.03
14:650:465,Orbital Mechanics,3.5
14:650:467,Design & Mfg. I,3.99
14:650:474,Alt Energy I,3.66
14:650:481,Heat Transfer,3.82
14:650:487,Ae Design 1,3.9
14:125:499,Topics In Biomedical Engineering: Health Tech In Situ: Data & Enterprise,4.06
14:332:223,Principles Of Electrical Engineering I Lab,4.09
14:332:224,Principles Of Electrical Engineering II Lab,4.05
14:332:233,Digital Logic Design Lab,3.97
